term,cvalue
system,155.17116939087072
applications,145.4550868860157
resources,132.86043830131945
performance,116.37905252566527
systems,111.79989654698467
resource management,81.5609597229104
implementation,68.25561911595827
grid,61.55146963372314
architecture,56.67953739278344
design,55.212736236953404
processors,54.59550444177987
network,51.818362570647786
application,51.78433408277332
framework,49.96651446238662
computer systems,43.4372233150899
algorithms,43.365352584721194
parallel applications,42.38912009445689
grid computing,41.34523149730571
resource allocation,41.22214570833016
services,41.14490511121563
programs,40.98688722942623
operating system,38.816242111356935
environments,38.80277306976647
computational grids,38.277706729163725
model,35.173534013559795
users,35.00527459544168
load balancing,33.42805950845994
high performance,33.27106466687737
data,32.87642612612061
distributed resources,30.44522437723423
processor,30.182927088671224
time,30.142535500566268
addition,29.1121815835177
networks,28.337487675833056
effectiveness,28.214442932076903
computers,28.197715409148152
computational grid,28.181124639487603
computer,28.14452066808253
jobs,27.448628350173834
number of processors,26.961590461985917
machines,26.83469799024931
scheduling,26.798761443762025
parallel processing,26.499950812497964
grid environments,25.498920096505945
algorithm,25.487805097100146
tasks,25.444446996577206
hardware,24.78694317682364
experiments,23.978952727983707
development,23.654912826254197
order,23.605089382366803
parameter sweep applications,23.325431571226428
wide range,23.02585092994046
communication,22.767883802652406
internet,22.713899916810515
control,22.679918288989512
grid applications,22.66570675244973
security,22.613926765768213
network weather service,21.948459511504048
user,21.86767556734279
gang scheduling,21.66440160881768
engineering,21.581057455185338
science,21.405011639608446
context,21.405011639608446
issues,21.225458327778497
program,21.136610239738747
globus toolkit,21.112458636922067
grid environment,20.79441541679836
quality of service,20.23260230527315
policies,20.08302752096052
arpa network,19.879253198304003
reconfigurable applications,19.775021196025975
arpanet,19.45910149055313
part,19.408121055678468
resource sharing,19.408121055678468
execution,19.27565197390411
computational resources,18.812965295574898
service,18.804402748814894
computer system,18.41474136749503
cluster,18.309245493384086
strategies,18.236473936512844
mechanisms,18.052267129073318
work,17.92940707048392
complex undertaking,17.66663387499864
distributed systems,17.66663387499864
simulation,17.65315237962102
project,17.148333188549948
machine,17.12400931168676
grid technologies,16.9992800643373
system performance,16.929320296248964
interface,16.8135445917902
overview,16.635532333438686
technologies,16.517320672120235
software,16.4904550165773
computation,16.485530000488797
performance characteristics,16.479184330021646
information,16.385617697455533
method,16.125835223052494
experience,16.11809565095832
environment,16.01998118422741
application requirements,15.890269151739728
access,15.759338967983119
nimrodg resource broker,15.677471079645748
management of resources,15.677471079645748
service times,15.389696144769221
workloads,15.380572041353537
resource,15.237874903785025
cost,15.07595117717881
wide area,15.066682816019792
measurements,14.909439898728003
such systems,14.909439898728003
network performance,14.722194895832201
load,14.621482035207903
ethernet,14.55609079175885
commerce,14.55609079175885
resource discovery,14.451858789480823
timesharing system,14.451858789480823
better performance,14.451858789480823
aggregation,14.387371636790224
use,14.256410629693146
such applications,14.16606672028108
availability,14.081137682132002
computational economy,14.004803213527746
scheduling algorithm,13.980083943251959
models,13.95905633003252
system resources,13.862943611198906
distributed hierarchical control,13.862943611198906
peertopeer,13.815510557964275
technology,13.623628466881438
respect,13.621371043387192
processor allocation policies,13.469183319945897
system parameters,13.457763384267027
distributed computer systems,13.328818040700815
efficiency,13.201487866499196
network services,13.16979643063896
grids,13.155405545113517
data parallel computations,13.032386152085929
purpose,12.972734327035422
job,12.967548621600368
characteristics,12.833803126962646
processes,12.783852086319824
sites,12.714559508229392
application development,12.541976863716599
application performance,12.541976863716599
deadline,12.476649250079014
fast sockets,12.424533248940001
overhead,12.303362454939029
analysis,12.245600189892366
distributed computing,12.178089750893692
simulations,11.989476363991853
programmers,11.989476363991853
free riding,11.989476363991853
abstract,11.956788864659055
parallelism,11.818198130220543
local area networks,11.777755916665761
customers,11.718531079126503
chapter,11.675460894331879
effects,11.675460894331879
ourgrid,11.675460894331879
computer resources,11.561487031584658
response time,11.542272108576915
complexity,11.51292546497023
monitoring,11.403278555780037
multiprocessor systems,11.333822328980494
independent tasks,11.332853376224865
interactive users,11.332853376224865
process,11.270062946612024
power,11.266065387038703
goal,11.090354888959125
optimal solution,11.090354888959125
other approaches,11.090354888959125
decisions,10.986122886681098
mechanism,10.986122886681098
operation,10.986122886681098
way,10.986122886681098
conditions,10.971140737206925
fault tolerance,10.83220080440884
process control,10.83220080440884
technique,10.786375197832351
study,10.770853721674364
legion,10.75055681536833
cluster resource management systems,10.666044184468241
task,10.605151862567164
toolkit,10.580886435488265
supercomputers,10.556229318461034
worldwide grid,10.556229318461034
user interface,10.556229318461034
new generation,10.556229318461034
minimum number,10.556229318461034
grid resources,10.556229318461034
advanced research projects agency,10.489522684399441
selection,10.400196332724773
resource management architecture,10.39720770839918
computer networks,10.388448928206127
computational economy framework,10.30196161345544
multiple administrative domains,10.30196161345544
open grid services architecture,10.30196161345544
utilitydriven cluster computing,10.30196161345544
allocation,10.20957541233209
san diego supercomputer center,10.203592144986466
clusters,10.119948836175201
scheduling for grid computing,10.101887489959422
lower bounds,9.939626599152001
basic issues,9.939626599152001
introduction,9.939626599152001
computing,9.787636753588615
analyst,9.729550745276565
example,9.729550745276565
insight,9.729550745276565
need,9.704060527839234
nodes,9.656627474604601
scalability,9.591581091193483
predictions,9.591581091193483
high degree,9.591581091193483
flexibility,9.591581091193483
disciplines,9.591581091193483
cluster rms,9.591581091193483
file system,9.591581091193483
significant improvements,9.534161491043838
service centers,9.478175703857735
requirements,9.469509124867784
parallel,9.440664599226455
performance improvement,9.406482647787449
scientific applications,9.406482647787449
efficiency preservation,9.406482647787449
distributed environment,9.406482647787449
area networks,9.4048143106923
storage,9.386154836619745
area network,9.318399936705001
application scheduling,9.273127360074948
dynamic load balancing,9.273127360074948
heterogeneous networks,9.273127360074948
performance prediction,9.273127360074948
interaction,9.24902462365086
accountant,9.210340371976184
facilities,9.210340371976184
john wiley,9.210340371976184
multiprocessors,9.139669428719959
communication systems,9.13356731317027
multiaccess protocols,9.13356731317027
multicomputer systems,9.13356731317027
cornell theory center,9.13356731317027
computations,9.0077866054815
challenges,9.001014454431271
classes of customers,8.987196820661973
general purpose time,8.987196820661973
logic theory machine,8.987196820661973
multicluster systems,8.987196820661973
network transparency,8.987196820661973
extent,8.958797346140274
others,8.958797346140274
budget,8.958797346140274
available resources,8.83331693749932
computing resources,8.83331693749932
number of processes,8.83331693749932
parallel algorithms,8.83331693749932
speed heterogeneity,8.83331693749932
copyright,8.788898309344878
solutions,8.788898309344878
spidernet,8.788898309344878
structure,8.67325491053771
distributed system,8.671115273688493
performance impact,8.671115273688493
promising platform,8.671115273688493
memory,8.610399671568153
workstations,8.500996433485264
auction protocols,8.49964003216865
design principles,8.49964003216865
different classes,8.49964003216865
placement process,8.49964003216865
reputation scheme,8.49964003216865
service providers,8.49964003216865
metric,8.361544189730923
parameters,8.346870962103417
system designers,8.317766166719343
strategy,8.317766166719343
gridbank,8.317766166719343
greedy algorithm,8.317766166719343
object placement,8.317766166719343
good performance,8.317766166719343
impact,8.286887545179754
size,8.191739406617536
data management,8.12415060330663
data processing,8.12415060330663
execution times,8.12415060330663
experimentation,8.12415060330663
other resources,8.12415060330663
software system,8.12415060330663
research,8.086717106532694
protocols,8.056490116899472
number,8.039946336279733
globus,7.934934792295673
authentication,7.917171988845775
globus project,7.917171988845775
modularization,7.917171988845775
response times,7.917171988845775
