term,cvalue
algorithm,111.03474653879736
resources,108.52566098646935
algorithms,75.0642740316059
resource management,69.22563982933865
systems,65.09532760530273
grid,60.25600145488352
performance,52.19604593812267
resource allocation,49.37597672756031
heuristics,47.630617352219694
jobs,46.80393819209535
grid computing,44.600068870497864
taxonomy,42.74407613452996
applications,41.52053111191223
system,36.69788838826349
greedy algorithm,36.04365338911715
total tardiness,34.30196921396133
users,30.042841032103208
processors,29.933606208922598
computational grids,29.444389791664403
distributed systems,28.953649961803333
thesis,28.66815150764888
tasks,28.31740759444863
literature,27.63102111592855
single machine,27.446196227998687
energy usage,27.333973147668004
research,26.606187930724055
order,25.751006598945605
resource management systems,25.13075610328301
services,24.51086412958785
time,24.402121224050124
architecture,23.876711721876006
grid resources,23.751515966537326
application,23.48707677458917
quality of service,23.122974063169316
deadline,22.684816818325483
solution,22.613926765768213
scheduling,22.323843279637398
model,22.2974210785141
grids,21.90806301211316
distributed resources,21.31165706406396
approximation algorithms,21.18702553565297
effectiveness,20.519594859692294
energy,20.47180499947799
power consumption,19.832493408393514
information,18.804547139313538
task,18.771174997866627
scalability,18.383863758120842
monitoring,18.082065289100303
methods,17.30835869422884
requirements,17.210279389272447
open grid services architecture,17.16993602242573
grid environments,16.9992800643373
efficiency,16.981565060831088
energy consumption,16.86050192106096
grid environment,16.635532333438686
optimal schedule,16.635532333438686
work,16.635532333438686
dominance rules,16.24830120661326
schedule,15.94238515287874
heterogeneous resources,15.677471079645748
task scheduling,15.571288656337709
processor,15.13643597720507
data,14.876800681271662
theorems,14.55609079175885
scheduling algorithms,14.461481579186259
nphard,14.33407575382444
grid systems,14.288213236281003
system automation,14.16606672028108
qos,14.110301582581036
policies,14.093992671385553
job,14.034771987735104
graph,14.002109838176672
online algorithm,13.862943611198906
data grids,13.815510557964275
john wiley,13.815510557964275
article,13.621371043387192
characteristics,13.54025100551105
service runtime,13.54025100551105
strategies,13.39685872287445
implementation,13.195286648076292
copyright,13.183347464017316
cluster,13.158059103135928
solutions,12.790985932350134
metaheuristic approaches,12.712215321391783
approximation algorithm,12.541976863716599
addition,12.476649250079014
survey,12.393002995494047
analysis,12.216719057369035
virtual organizations,12.178089750893692
engineering,11.989476363991853
approximation scheme,11.982929094215963
design,11.890767386695275
development,11.82961667913863
commodities markets,11.777755916665761
management systems,11.754178482111069
chapter,11.675460894331879
distributed system,11.561487031584658
criteria,11.436928479239096
servers,11.332064985675059
resource,11.123587972958573
instances,10.986122886681098
mechanisms,10.855044009829074
polynomial time,10.83220080440884
experiments,10.790528727592669
approaches,10.780284753563032
set,10.690342655116606
design of efficient grid schedulers,10.666044184468241
new heuristics,10.556229318461034
time algorithm,10.556229318461034
